association_id,domain_id_a,domain_id_b,entity_unit,weighted_support,effective_sample_size,prevalence_a,prevalence_b,joint_prevalence_low,joint_prevalence_base,joint_prevalence_high,lift,method_code,independence_assumed,caveat,model_version,run_id
ASSOC-DOM-01-DOM-02,DOM-01,DOM-02,person,175725.60874719982,3949.0330002543915,0.4152069699218108,0.4873744339384993,0.16662853648689155,0.19713262610758084,0.22763671572827013,0.974161873792261,weighted_same_synthetic_person_joint,false,Nemotron 합성 내러티브 keyword joint와 공식 성인 보정가중치를 사용한 탐색적 의존성 프록시; 실재 개인 관측 아님,kr-v0.2.1,RUN-P2-20260824T170416Z
ASSOC-DOM-01-DOM-03,DOM-01,DOM-03,person,30247.078090476265,658.4068940669141,0.4152069699218108,0.0945156571026755,0.006426891063191515,0.03393179843601864,0.06143670580884576,0.8646462957370318,weighted_same_synthetic_person_joint,false,Nemotron 합성 내러티브 keyword joint와 공식 성인 보정가중치를 사용한 탐색적 의존성 프록시; 실재 개인 관측 아님,kr-v0.2.1,RUN-P2-20260824T170416Z
ASSOC-DOM-01-DOM-04,DOM-01,DOM-04,person,284938.8159063666,6419.025550184764,0.4152069699218108,0.7669202378053386,0.28819835778112474,0.3196502630439837,0.35110216830684265,1.0038301432885088,weighted_same_synthetic_person_joint,false,Nemotron 합성 내러티브 keyword joint와 공식 성인 보정가중치를 사용한 탐색적 의존성 프록시; 실재 개인 관측 아님,kr-v0.2.1,RUN-P2-20260824T170416Z
ASSOC-DOM-01-DOM-05,DOM-01,DOM-05,person,75464.29173395761,1697.371495785546,0.4152069699218108,0.24466326065762123,0.05580609334485262,0.08465740487640065,0.11350871640794868,0.8333578999242826,weighted_same_synthetic_person_joint,false,Nemotron 합성 내러티브 keyword joint와 공식 성인 보정가중치를 사용한 탐색적 의존성 프록시; 실재 개인 관측 아님,kr-v0.2.1,RUN-P2-20260824T170416Z
ASSOC-DOM-01-DOM-06,DOM-01,DOM-06,person,141380.43607554983,3193.437338804717,0.4152069699218108,0.37763812371173333,0.12854943242113015,0.15860350032363865,0.18865756822614715,1.0115149394014697,weighted_same_synthetic_person_joint,false,Nemotron 합성 내러티브 keyword joint와 공식 성인 보정가중치를 사용한 탐색적 의존성 프록시; 실재 개인 관측 아님,kr-v0.2.1,RUN-P2-20260824T170416Z
ASSOC-DOM-01-DOM-07,DOM-01,DOM-07,person,332274.03172393295,7472.69145103671,0.4152069699218108,0.9020973534862695,0.3410620756779511,0.37275188817427435,0.4044417006705976,0.995180386383708,weighted_same_synthetic_person_joint,false,Nemotron 합성 내러티브 keyword joint와 공식 성인 보정가중치를 사용한 탐색적 의존성 프록시; 실재 개인 관측 아님,kr-v0.2.1,RUN-P2-20260824T170416Z
ASSOC-DOM-01-DOM-08,DOM-01,DOM-08,person,12253.274653335802,271.73622412591317,0.4152069699218108,0.03637293296774951,0.0,0.013745977197350497,0.04035686963037799,0.9101912615408049,weighted_same_synthetic_person_joint,false,Nemotron 합성 내러티브 keyword joint와 공식 성인 보정가중치를 사용한 탐색적 의존성 프록시; 실재 개인 관측 아님,kr-v0.2.1,RUN-P2-20260824T170416Z
ASSOC-DOM-01-DOM-09,DOM-01,DOM-09,person,33828.19748687187,761.3378304795671,0.4152069699218108,0.09737445744239172,0.01030564074996216,0.037949172318227545,0.06559270388649294,0.9386260910583711,weighted_same_synthetic_person_joint,false,Nemotron 합성 내러티브 keyword joint와 공식 성인 보정가중치를 사용한 탐색적 의존성 프록시; 실재 개인 관측 아님,kr-v0.2.1,RUN-P2-20260824T170416Z
ASSOC-DOM-01-DOM-10,DOM-01,DOM-10,person,325805.6838497177,7326.812352858782,0.4152069699218108,0.8862602188002495,0.3338329772026913,0.365495561608601,0.39715814601451077,0.9932446089217708,weighted_same_synthetic_person_joint,false,Nemotron 합성 내러티브 keyword joint와 공식 성인 보정가중치를 사용한 탐색적 의존성 프록시; 실재 개인 관측 아님,kr-v0.2.1,RUN-P2-20260824T170416Z
ASSOC-DOM-01-DOM-11,DOM-01,DOM-11,person,250932.08459591796,5638.412704262506,0.4152069699218108,0.6587699578107551,0.25027870325600454,0.2815008077861116,0.3127229123162186,1.0291560337347467,weighted_same_synthetic_person_joint,false,Nemotron 합성 내러티브 keyword joint와 공식 성인 보정가중치를 사용한 탐색적 의존성 프록시; 실재 개인 관측 아님,kr-v0.2.1,RUN-P2-20260824T170416Z
ASSOC-DOM-01-DOM-12,DOM-01,DOM-12,person,105101.57000963567,2359.70568153734,0.4152069699218108,0.31174674686114723,0.08844333556767416,0.11790511725491118,0.14736689894214822,0.9108903245939192,weighted_same_synthetic_person_joint,false,Nemotron 합성 내러티브 keyword joint와 공식 성인 보정가중치를 사용한 탐색적 의존성 프록시; 실재 개인 관측 아님,kr-v0.2.1,RUN-P2-20260824T170416Z
